<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	0.68069	0.68388	0.67563	0.67598	71840	0	2
2024.01.03	0.67609	0.67703	0.67020	0.67306	79597	0	0
2024.01.04	0.67277	0.67597	0.66964	0.67059	66129	0	0
2024.01.05	0.67066	0.67479	0.66404	0.67131	81371	0	0
2024.01.08	0.67141	0.67344	0.66773	0.67193	63111	0	0
2024.01.09	0.67188	0.67343	0.66769	0.66861	64617	0	0
2024.01.10	0.66790	0.67128	0.66782	0.66987	58486	0	0
2024.01.11	0.66973	0.67254	0.66470	0.66865	75967	0	0
2024.01.12	0.66756	0.67287	0.66704	0.66840	72501	0	2
2024.01.15	0.66779	0.67044	0.66501	0.66599	46515	0	0
2024.01.16	0.66594	0.66615	0.65760	0.65839	76488	0	0
2024.01.17	0.65839	0.65943	0.65248	0.65519	71118	0	0
2024.01.18	0.65519	0.65745	0.65251	0.65726	66504	0	0
2024.01.19	0.65690	0.66015	0.65552	0.65946	61130	0	3
2024.01.22	0.65831	0.66135	0.65662	0.65695	62142	0	0
2024.01.23	0.65698	0.66123	0.65515	0.65789	59596	0	0
2024.01.24	0.65792	0.66210	0.65657	0.65757	68315	0	0
2024.01.25	0.65753	0.66097	0.65659	0.65839	69171	0	2
2024.01.26	0.65823	0.66095	0.65745	0.65748	54106	0	2
2024.01.29	0.65730	0.66156	0.65695	0.66103	48827	0	0
2024.01.30	0.66097	0.66242	0.65748	0.66018	64817	0	1
2024.01.31	0.66020	0.66224	0.65513	0.65675	95257	0	0
2024.02.01	0.65654	0.65787	0.65080	0.65717	78378	0	0
2024.02.02	0.65705	0.66101	0.65021	0.65102	65556	0	0
2024.02.05	0.65103	0.65200	0.64686	0.64825	64571	0	0
2024.02.06	0.64810	0.65248	0.64777	0.65225	68293	0	0
2024.02.07	0.65225	0.65400	0.65155	0.65195	63408	0	0
2024.02.08	0.65196	0.65317	0.64803	0.64910	54887	0	1
2024.02.09	0.64909	0.65342	0.64871	0.65214	49334	0	1
2024.02.12	0.65165	0.65428	0.65044	0.65290	41800	0	2
2024.02.13	0.65304	0.65383	0.64425	0.64533	59270	0	2
2024.02.14	0.64509	0.64953	0.64460	0.64875	60229	0	2
2024.02.15	0.64882	0.65293	0.64772	0.65242	58984	0	2
2024.02.16	0.65240	0.65445	0.64963	0.65278	58889	0	2
2024.02.19	0.65244	0.65516	0.65244	0.65392	38875	0	0
2024.02.20	0.65394	0.65789	0.65210	0.65483	55558	0	0
2024.02.21	0.65476	0.65728	0.65329	0.65506	58319	0	1
2024.02.22	0.65499	0.65948	0.65401	0.65567	60480	0	0
2024.02.23	0.65566	0.65803	0.65489	0.65629	51048	0	0
2024.02.26	0.65650	0.65666	0.65306	0.65376	48888	0	2
2024.02.27	0.65394	0.65577	0.65245	0.65418	50784	0	1
2024.02.28	0.65430	0.65493	0.64881	0.64921	58478	0	2
2024.02.29	0.64946	0.65309	0.64867	0.64947	68936	0	0
2024.03.01	0.64963	0.65336	0.64890	0.65241	61719	0	2
2024.03.04	0.65201	0.65350	0.65061	0.65081	59221	0	2
2024.03.05	0.65113	0.65207	0.64772	0.64989	59593	0	2
2024.03.06	0.64958	0.65812	0.64922	0.65622	65692	0	2
2024.03.07	0.65628	0.66244	0.65598	0.66176	72009	0	2
2024.03.08	0.66193	0.66675	0.66128	0.66229	78176	0	0
2024.03.11	0.66230	0.66264	0.65965	0.66102	69510	0	0
2024.03.12	0.66102	0.66387	0.65842	0.66050	54268	0	0
2024.03.13	0.66051	0.66350	0.65999	0.66198	28267	0	0
2024.03.14	0.66201	0.66315	0.65692	0.65790	36432	0	0
2024.03.15	0.65790	0.65812	0.65519	0.65589	29214	0	0
2024.03.18	0.65582	0.65737	0.65500	0.65559	25381	0	0
2024.03.19	0.65559	0.65637	0.65039	0.65304	33986	0	0
2024.03.20	0.65303	0.65869	0.65115	0.65792	32421	0	0
2024.03.21	0.65792	0.66344	0.65610	0.65686	35410	0	0
2024.03.22	0.65686	0.65766	0.65101	0.65129	32418	0	0
2024.03.25	0.65125	0.65468	0.65098	0.65383	26936	0	0
2024.03.26	0.65383	0.65590	0.65302	0.65315	25444	0	0
2024.03.27	0.65326	0.65383	0.65111	0.65305	26868	0	0
2024.03.28	0.65306	0.65406	0.64852	0.65127	29803	0	0
2024.03.29	0.65127	0.65327	0.65026	0.65140	8510	0	3
2024.04.01	0.65180	0.65386	0.64806	0.64885	19000	0	0
2024.04.02	0.64887	0.65238	0.64753	0.65173	27792	0	0
2024.04.03	0.65173	0.65696	0.64996	0.65637	30535	0	0
2024.04.04	0.65637	0.66188	0.65544	0.65873	27230	0	0
2024.04.05	0.65870	0.65920	0.65491	0.65783	36043	0	0
2024.04.08	0.65709	0.66098	0.65593	0.66035	33205	0	0
2024.04.09	0.66027	0.66441	0.65980	0.66279	31642	0	0
2024.04.10	0.66278	0.66310	0.64986	0.65120	43126	0	0
2024.04.11	0.65118	0.65528	0.65017	0.65372	46501	0	0
2024.04.12	0.65374	0.65430	0.64559	0.64616	42633	0	0
2024.04.15	0.64700	0.64930	0.64375	0.64414	47693	0	0
2024.04.16	0.64395	0.64440	0.63891	0.64009	51922	0	0
2024.04.17	0.64010	0.64460	0.63962	0.64343	46253	0	0
2024.04.18	0.64317	0.64562	0.64163	0.64209	49144	0	0
2024.04.19	0.64187	0.64327	0.63619	0.64166	71667	0	0
