<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	0.68069	0.68224	0.68051	0.68121	7435	0	6
2024.01.02	04:00:00	0.68121	0.68388	0.68020	0.68383	7902	0	6
2024.01.02	08:00:00	0.68383	0.68386	0.68188	0.68214	12907	0	3
2024.01.02	12:00:00	0.68214	0.68240	0.67772	0.67796	14099	0	3
2024.01.02	16:00:00	0.67797	0.67908	0.67610	0.67731	21347	0	3
2024.01.02	20:00:00	0.67731	0.67736	0.67563	0.67598	8150	0	2
2024.01.03	00:00:00	0.67609	0.67703	0.67518	0.67560	7093	0	6
2024.01.03	04:00:00	0.67560	0.67703	0.67505	0.67641	7988	0	0
2024.01.03	08:00:00	0.67641	0.67699	0.67451	0.67491	12107	0	3
2024.01.03	12:00:00	0.67490	0.67513	0.67120	0.67148	13226	0	3
2024.01.03	16:00:00	0.67151	0.67392	0.67020	0.67201	24095	0	3
2024.01.03	20:00:00	0.67200	0.67373	0.67068	0.67306	15088	0	1
2024.01.04	00:00:00	0.67277	0.67357	0.67103	0.67299	6836	0	3
2024.01.04	04:00:00	0.67299	0.67465	0.67206	0.67395	8332	0	6
2024.01.04	08:00:00	0.67395	0.67597	0.67394	0.67429	13161	0	3
2024.01.04	12:00:00	0.67429	0.67454	0.67089	0.67128	13087	0	3
2024.01.04	16:00:00	0.67128	0.67172	0.66964	0.67028	17520	0	3
2024.01.04	20:00:00	0.67028	0.67073	0.66982	0.67059	7193	0	0
2024.01.05	00:00:00	0.67066	0.67164	0.66990	0.67110	6416	0	3
2024.01.05	04:00:00	0.67110	0.67183	0.66924	0.67031	6729	0	6
2024.01.05	08:00:00	0.67031	0.67092	0.66818	0.66823	11578	0	3
2024.01.05	12:00:00	0.66822	0.66894	0.66404	0.66860	16490	0	3
2024.01.05	16:00:00	0.66866	0.67479	0.66829	0.67142	30429	0	3
2024.01.05	20:00:00	0.67140	0.67268	0.67051	0.67131	9729	0	0
2024.01.08	00:00:00	0.67141	0.67344	0.67092	0.67260	8248	0	0
2024.01.08	04:00:00	0.67260	0.67260	0.66938	0.66997	7789	0	6
2024.01.08	08:00:00	0.66997	0.67148	0.66815	0.66974	12407	0	3
2024.01.08	12:00:00	0.66977	0.66996	0.66773	0.66813	11184	0	3
2024.01.08	16:00:00	0.66813	0.67216	0.66795	0.67121	16795	0	3
2024.01.08	20:00:00	0.67121	0.67229	0.67051	0.67193	6688	0	0
2024.01.09	00:00:00	0.67188	0.67308	0.67030	0.67282	8030	0	6
2024.01.09	04:00:00	0.67282	0.67343	0.67072	0.67085	7782	0	6
2024.01.09	08:00:00	0.67085	0.67135	0.66950	0.67040	11948	0	3
2024.01.09	12:00:00	0.67041	0.67055	0.66877	0.66984	11672	0	3
2024.01.09	16:00:00	0.66984	0.67013	0.66771	0.66866	16279	0	0
2024.01.09	20:00:00	0.66865	0.66921	0.66769	0.66861	8906	0	0
2024.01.10	00:00:00	0.66790	0.67000	0.66782	0.66983	7565	0	2
2024.01.10	04:00:00	0.66982	0.67081	0.66963	0.67036	7375	0	2
2024.01.10	08:00:00	0.67034	0.67112	0.66906	0.67084	11343	0	3
2024.01.10	12:00:00	0.67083	0.67128	0.66951	0.66981	9462	0	3
2024.01.10	16:00:00	0.66981	0.67011	0.66859	0.66963	13924	0	2
2024.01.10	20:00:00	0.66962	0.67036	0.66903	0.66987	8817	0	0
2024.01.11	00:00:00	0.66973	0.67179	0.66862	0.67170	5729	0	0
2024.01.11	04:00:00	0.67171	0.67254	0.67119	0.67184	6419	0	6
2024.01.11	08:00:00	0.67185	0.67245	0.67071	0.67109	8560	0	3
2024.01.11	12:00:00	0.67108	0.67233	0.66617	0.66649	14792	0	1
2024.01.11	16:00:00	0.66651	0.66927	0.66470	0.66556	29443	0	3
2024.01.11	20:00:00	0.66558	0.66908	0.66542	0.66865	11024	0	2
2024.01.12	00:00:00	0.66756	0.67138	0.66704	0.67118	8203	0	6
2024.01.12	04:00:00	0.67118	0.67134	0.66952	0.66959	7751	0	3
2024.01.12	08:00:00	0.66958	0.67112	0.66919	0.66994	11020	0	2
2024.01.12	12:00:00	0.66994	0.67162	0.66779	0.67043	15195	0	3
2024.01.12	16:00:00	0.67044	0.67287	0.66821	0.66864	22399	0	3
2024.01.12	20:00:00	0.66863	0.66947	0.66822	0.66840	7933	0	2
2024.01.15	00:00:00	0.66779	0.66955	0.66716	0.66943	8930	0	6
2024.01.15	04:00:00	0.66943	0.67044	0.66839	0.66841	9347	0	6
2024.01.15	08:00:00	0.66841	0.66878	0.66557	0.66572	10067	0	0
2024.01.15	12:00:00	0.66572	0.66669	0.66517	0.66564	9099	0	3
2024.01.15	16:00:00	0.66565	0.66630	0.66501	0.66595	7375	0	3
2024.01.15	20:00:00	0.66596	0.66607	0.66566	0.66599	1697	0	0
2024.01.16	00:00:00	0.66594	0.66615	0.66187	0.66324	8399	0	0
2024.01.16	04:00:00	0.66324	0.66327	0.66097	0.66120	8229	0	6
2024.01.16	08:00:00	0.66121	0.66330	0.66007	0.66048	13357	0	3
2024.01.16	12:00:00	0.66048	0.66175	0.65953	0.65989	14362	0	0
2024.01.16	16:00:00	0.65986	0.66092	0.65815	0.65820	23987	0	0
2024.01.16	20:00:00	0.65820	0.65887	0.65760	0.65839	8154	0	2
2024.01.17	00:00:00	0.65839	0.65929	0.65772	0.65918	6607	0	5
2024.01.17	04:00:00	0.65919	0.65943	0.65550	0.65600	8739	0	6
2024.01.17	08:00:00	0.65600	0.65618	0.65348	0.65528	14748	0	3
2024.01.17	12:00:00	0.65528	0.65654	0.65396	0.65453	13000	0	3
2024.01.17	16:00:00	0.65454	0.65462	0.65248	0.65395	19353	0	3
2024.01.17	20:00:00	0.65394	0.65520	0.65319	0.65519	8671	0	0
2024.01.18	00:00:00	0.65519	0.65618	0.65251	0.65585	8494	0	2
2024.01.18	04:00:00	0.65585	0.65665	0.65482	0.65567	8988	0	6
2024.01.18	08:00:00	0.65567	0.65676	0.65487	0.65633	11151	0	1
2024.01.18	12:00:00	0.65633	0.65745	0.65435	0.65448	12062	0	0
2024.01.18	16:00:00	0.65447	0.65682	0.65447	0.65569	18171	0	3
2024.01.18	20:00:00	0.65570	0.65744	0.65528	0.65726	7638	0	1
2024.01.19	00:00:00	0.65690	0.65878	0.65552	0.65831	7617	0	6
2024.01.19	04:00:00	0.65828	0.65887	0.65682	0.65708	6979	0	6
2024.01.19	08:00:00	0.65707	0.65987	0.65651	0.65987	10613	0	3
2024.01.19	12:00:00	0.65987	0.66015	0.65879	0.65897	10076	0	3
2024.01.19	16:00:00	0.65899	0.65934	0.65707	0.65909	18421	0	3
2024.01.19	20:00:00	0.65910	0.65986	0.65858	0.65946	7424	0	3
2024.01.22	00:00:00	0.65831	0.66135	0.65821	0.66037	8521	0	5
2024.01.22	04:00:00	0.66038	0.66060	0.65854	0.65882	8674	0	6
2024.01.22	08:00:00	0.65883	0.65946	0.65809	0.65873	12178	0	3
2024.01.22	12:00:00	0.65873	0.65978	0.65839	0.65902	10131	0	3
2024.01.22	16:00:00	0.65902	0.65961	0.65786	0.65845	14496	0	3
2024.01.22	20:00:00	0.65844	0.65844	0.65662	0.65695	8142	0	0
2024.01.23	00:00:00	0.65698	0.65930	0.65621	0.65897	6883	0	6
2024.01.23	04:00:00	0.65897	0.66084	0.65808	0.66072	11992	0	6
2024.01.23	08:00:00	0.66072	0.66123	0.65838	0.65876	11345	0	3
2024.01.23	12:00:00	0.65876	0.65997	0.65755	0.65924	9349	0	3
2024.01.23	16:00:00	0.65924	0.65924	0.65515	0.65589	14154	0	3
2024.01.23	20:00:00	0.65590	0.65800	0.65580	0.65789	5873	0	0
2024.01.24	00:00:00	0.65792	0.65865	0.65735	0.65758	6713	0	3
2024.01.24	04:00:00	0.65758	0.65762	0.65657	0.65739	6975	0	6
2024.01.24	08:00:00	0.65739	0.66092	0.65705	0.66010	11709	0	3
2024.01.24	12:00:00	0.66009	0.66190	0.65923	0.66167	10949	0	0
2024.01.24	16:00:00	0.66166	0.66210	0.65914	0.66069	21030	0	3
2024.01.24	20:00:00	0.66069	0.66079	0.65733	0.65757	10939	0	2
2024.01.25	00:00:00	0.65753	0.65802	0.65659	0.65746	7400	0	6
2024.01.25	04:00:00	0.65744	0.65807	0.65688	0.65735	7264	0	6
2024.01.25	08:00:00	0.65735	0.65880	0.65708	0.65864	9457	0	3
2024.01.25	12:00:00	0.65862	0.66070	0.65749	0.66058	13786	0	3
2024.01.25	16:00:00	0.66058	0.66097	0.65717	0.65773	22010	0	3
2024.01.25	20:00:00	0.65773	0.65869	0.65704	0.65839	9254	0	2
2024.01.26	00:00:00	0.65823	0.65908	0.65760	0.65871	4700	0	6
2024.01.26	04:00:00	0.65872	0.65965	0.65857	0.65923	6271	0	3
2024.01.26	08:00:00	0.65923	0.65924	0.65766	0.65904	9947	0	3
2024.01.26	12:00:00	0.65903	0.66095	0.65875	0.66042	11690	0	3
2024.01.26	16:00:00	0.66042	0.66065	0.65781	0.65807	15525	0	3
2024.01.26	20:00:00	0.65805	0.65846	0.65745	0.65748	5973	0	2
2024.01.29	00:00:00	0.65730	0.65947	0.65695	0.65914	7855	0	6
2024.01.29	04:00:00	0.65914	0.65947	0.65841	0.65885	5951	0	6
2024.01.29	08:00:00	0.65885	0.66039	0.65873	0.66004	8509	0	3
2024.01.29	12:00:00	0.66003	0.66060	0.65947	0.65991	7852	0	1
2024.01.29	16:00:00	0.65991	0.66003	0.65812	0.65914	11067	0	3
2024.01.29	20:00:00	0.65914	0.66156	0.65882	0.66103	7593	0	0
2024.01.30	00:00:00	0.66097	0.66242	0.65926	0.66147	7711	0	5
2024.01.30	04:00:00	0.66147	0.66182	0.66060	0.66157	7662	0	1
2024.01.30	08:00:00	0.66157	0.66168	0.65959	0.66050	11478	0	3
2024.01.30	12:00:00	0.66050	0.66054	0.65845	0.65873	10387	0	3
2024.01.30	16:00:00	0.65873	0.66031	0.65748	0.65921	18933	0	3
2024.01.30	20:00:00	0.65920	0.66058	0.65902	0.66018	8646	0	3
2024.01.31	00:00:00	0.66020	0.66030	0.65708	0.65733	8167	0	5
2024.01.31	04:00:00	0.65733	0.65747	0.65589	0.65661	7913	0	3
2024.01.31	08:00:00	0.65661	0.65906	0.65606	0.65828	10536	0	2
2024.01.31	12:00:00	0.65828	0.65987	0.65743	0.65961	14623	0	3
2024.01.31	16:00:00	0.65961	0.66224	0.65929	0.65951	21275	0	3
2024.01.31	20:00:00	0.65951	0.66184	0.65513	0.65675	32743	0	0
2024.02.01	00:00:00	0.65654	0.65780	0.65593	0.65636	8165	0	6
2024.02.01	04:00:00	0.65635	0.65787	0.65368	0.65377	10003	0	4
2024.02.01	08:00:00	0.65377	0.65433	0.65186	0.65273	12787	0	3
2024.02.01	12:00:00	0.65273	0.65306	0.65080	0.65191	13366	0	0
2024.02.01	16:00:00	0.65191	0.65718	0.65169	0.65673	23503	0	3
2024.02.01	20:00:00	0.65673	0.65746	0.65609	0.65717	10554	0	2
2024.02.02	00:00:00	0.65705	0.65889	0.65660	0.65887	6232	0	6
2024.02.02	04:00:00	0.65888	0.65992	0.65883	0.65934	6579	0	1
2024.02.02	08:00:00	0.65934	0.66038	0.65865	0.66023	9300	0	3
2024.02.02	12:00:00	0.66022	0.66101	0.65406	0.65426	12695	0	0
2024.02.02	16:00:00	0.65426	0.65438	0.65021	0.65074	22192	0	0
2024.02.02	20:00:00	0.65074	0.65194	0.65063	0.65102	8558	0	1
2024.02.05	00:00:00	0.65103	0.65157	0.64858	0.65068	11858	0	6
2024.02.05	04:00:00	0.65067	0.65161	0.64973	0.65154	9098	0	6
2024.02.05	08:00:00	0.65153	0.65200	0.64968	0.64997	10374	0	3
2024.02.05	12:00:00	0.64997	0.65063	0.64853	0.64880	10278	0	3
2024.02.05	16:00:00	0.64881	0.64928	0.64686	0.64858	16244	0	3
2024.02.05	20:00:00	0.64858	0.64904	0.64773	0.64825	6719	0	0
2024.02.06	00:00:00	0.64810	0.64955	0.64777	0.64948	5906	0	6
2024.02.06	04:00:00	0.64948	0.65209	0.64876	0.65099	12138	0	6
2024.02.06	08:00:00	0.65100	0.65179	0.64935	0.64943	9789	0	3
2024.02.06	12:00:00	0.64943	0.65058	0.64870	0.64918	10241	0	3
2024.02.06	16:00:00	0.64917	0.65246	0.64904	0.65216	19908	0	3
2024.02.06	20:00:00	0.65216	0.65248	0.65140	0.65225	10311	0	0
2024.02.07	00:00:00	0.65225	0.65400	0.65186	0.65387	7404	0	3
2024.02.07	04:00:00	0.65387	0.65391	0.65246	0.65294	9024	0	6
2024.02.07	08:00:00	0.65294	0.65373	0.65205	0.65290	10887	0	3
2024.02.07	12:00:00	0.65292	0.65341	0.65169	0.65254	10024	0	3
2024.02.07	16:00:00	0.65253	0.65336	0.65169	0.65192	18209	0	3
2024.02.07	20:00:00	0.65192	0.65261	0.65155	0.65195	7860	0	0
2024.02.08	00:00:00	0.65196	0.65298	0.65114	0.65267	7171	0	6
2024.02.08	04:00:00	0.65267	0.65317	0.65169	0.65207	7184	0	2
2024.02.08	08:00:00	0.65208	0.65251	0.65055	0.65097	9664	0	3
2024.02.08	12:00:00	0.65097	0.65121	0.64816	0.64842	9965	0	3
2024.02.08	16:00:00	0.64840	0.64913	0.64803	0.64893	12875	0	3
2024.02.08	20:00:00	0.64893	0.64976	0.64860	0.64910	8028	0	1
2024.02.09	00:00:00	0.64909	0.64994	0.64871	0.64926	5258	0	1
2024.02.09	04:00:00	0.64926	0.64986	0.64898	0.64925	5044	0	2
2024.02.09	08:00:00	0.64925	0.65126	0.64917	0.65073	7918	0	3
2024.02.09	12:00:00	0.65072	0.65342	0.65044	0.65221	12107	0	3
2024.02.09	16:00:00	0.65221	0.65305	0.65129	0.65182	14407	0	4
2024.02.09	20:00:00	0.65182	0.65264	0.65181	0.65214	4600	0	3
2024.02.12	00:00:00	0.65165	0.65297	0.65044	0.65248	5789	0	3
2024.02.12	04:00:00	0.65247	0.65262	0.65148	0.65185	5614	0	2
2024.02.12	08:00:00	0.65184	0.65310	0.65122	0.65161	7845	0	3
2024.02.12	12:00:00	0.65161	0.65285	0.65147	0.65193	7292	0	4
2024.02.12	16:00:00	0.65193	0.65425	0.65189	0.65422	9816	0	3
2024.02.12	20:00:00	0.65422	0.65428	0.65251	0.65290	5444	0	3
2024.02.13	00:00:00	0.65304	0.65306	0.65191	0.65270	4599	0	2
2024.02.13	04:00:00	0.65271	0.65274	0.65133	0.65160	5467	0	2
2024.02.13	08:00:00	0.65159	0.65234	0.65093	0.65163	8110	0	2
2024.02.13	12:00:00	0.65163	0.65383	0.64639	0.64672	13984	0	4
2024.02.13	16:00:00	0.64672	0.64758	0.64528	0.64557	18966	0	4
2024.02.13	20:00:00	0.64557	0.64572	0.64425	0.64533	8144	0	3
2024.02.14	00:00:00	0.64509	0.64561	0.64460	0.64557	7185	0	2
2024.02.14	04:00:00	0.64557	0.64671	0.64525	0.64667	7409	0	2
2024.02.14	08:00:00	0.64667	0.64806	0.64664	0.64765	11442	0	4
2024.02.14	12:00:00	0.64764	0.64878	0.64718	0.64737	10417	0	3
2024.02.14	16:00:00	0.64737	0.64915	0.64722	0.64907	15696	0	4
2024.02.14	20:00:00	0.64907	0.64953	0.64858	0.64875	8080	0	4
2024.02.15	00:00:00	0.64882	0.65010	0.64772	0.64818	7287	0	2
2024.02.15	04:00:00	0.64818	0.64905	0.64773	0.64874	6255	0	3
2024.02.15	08:00:00	0.64875	0.65006	0.64859	0.64954	9878	0	3
2024.02.15	12:00:00	0.64954	0.65278	0.64948	0.65187	11603	0	3
2024.02.15	16:00:00	0.65187	0.65293	0.65043	0.65098	16781	0	4
2024.02.15	20:00:00	0.65098	0.65252	0.65086	0.65242	7180	0	2
2024.02.16	00:00:00	0.65240	0.65283	0.65068	0.65138	6371	0	2
2024.02.16	04:00:00	0.65138	0.65197	0.65093	0.65181	7515	0	3
2024.02.16	08:00:00	0.65180	0.65290	0.65167	0.65231	9431	0	3
2024.02.16	12:00:00	0.65231	0.65296	0.64963	0.65063	10902	0	4
2024.02.16	16:00:00	0.65063	0.65395	0.64977	0.65393	17214	0	2
2024.02.16	20:00:00	0.65392	0.65445	0.65272	0.65278	7456	0	3
2024.02.19	00:00:00	0.65244	0.65516	0.65244	0.65399	8155	0	7
2024.02.19	04:00:00	0.65399	0.65442	0.65356	0.65425	6667	0	2
2024.02.19	08:00:00	0.65425	0.65473	0.65390	0.65399	8898	0	4
2024.02.19	12:00:00	0.65400	0.65408	0.65358	0.65381	6619	0	2
2024.02.19	16:00:00	0.65382	0.65402	0.65331	0.65368	5082	0	2
2024.02.19	20:00:00	0.65368	0.65408	0.65368	0.65392	3454	0	0
2024.02.20	00:00:00	0.65394	0.65397	0.65244	0.65285	7793	0	6
2024.02.20	04:00:00	0.65286	0.65326	0.65210	0.65297	6290	0	0
2024.02.20	08:00:00	0.65297	0.65543	0.65274	0.65537	9383	0	2
2024.02.20	12:00:00	0.65533	0.65746	0.65486	0.65726	10471	0	2
2024.02.20	16:00:00	0.65726	0.65789	0.65489	0.65550	14243	0	4
2024.02.20	20:00:00	0.65550	0.65554	0.65464	0.65483	7378	0	3
2024.02.21	00:00:00	0.65476	0.65565	0.65437	0.65557	5961	0	3
2024.02.21	04:00:00	0.65557	0.65728	0.65555	0.65688	9894	0	3
2024.02.21	08:00:00	0.65688	0.65693	0.65522	0.65537	10166	0	4
2024.02.21	12:00:00	0.65537	0.65596	0.65488	0.65532	9246	0	4
2024.02.21	16:00:00	0.65531	0.65575	0.65375	0.65407	12013	0	4
2024.02.21	20:00:00	0.65407	0.65521	0.65329	0.65506	11039	0	1
2024.02.22	00:00:00	0.65499	0.65606	0.65461	0.65514	6344	0	4
2024.02.22	04:00:00	0.65514	0.65634	0.65420	0.65604	6493	0	3
