<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	1.27210	1.27601	1.26107	1.26160	219509	0	1
2024.01.03	1.26149	1.26767	1.26096	1.26642	237702	0	0
2024.01.04	1.26639	1.27300	1.26517	1.26814	205876	0	0
2024.01.05	1.26758	1.27711	1.26112	1.27176	256974	0	0
2024.01.08	1.27101	1.27670	1.26734	1.27474	164464	0	0
2024.01.09	1.27467	1.27649	1.26892	1.27065	174930	0	1
2024.01.10	1.27059	1.27441	1.26860	1.27413	160802	0	1
2024.01.11	1.27415	1.27830	1.26900	1.27530	284996	0	1
2024.01.12	1.27430	1.27858	1.27193	1.27516	226931	0	1
2024.01.15	1.27327	1.27653	1.27128	1.27268	133971	0	0
2024.01.16	1.27264	1.27286	1.26192	1.26358	266246	0	0
2024.01.17	1.26350	1.26965	1.25964	1.26759	246408	0	0
2024.01.18	1.26755	1.27077	1.26480	1.27051	248350	0	1
2024.01.19	1.27056	1.27147	1.26611	1.27032	212963	0	0
2024.01.22	1.26807	1.27330	1.26776	1.27082	191697	0	1
2024.01.23	1.27030	1.27475	1.26488	1.26858	208446	0	1
2024.01.24	1.26862	1.27750	1.26630	1.27246	249671	0	1
2024.01.25	1.27233	1.27428	1.26815	1.27073	239940	0	1
2024.01.26	1.27070	1.27585	1.26754	1.26990	185040	0	1
2024.01.29	1.26851	1.27190	1.26619	1.27074	167941	0	1
2024.01.30	1.27065	1.27211	1.26400	1.26982	183679	0	1
2024.01.31	1.26981	1.27509	1.26579	1.26869	303924	0	0
2024.02.01	1.26789	1.27556	1.26250	1.27429	248869	0	0
2024.02.02	1.27408	1.27726	1.26138	1.26302	210364	0	0
2024.02.05	1.26476	1.26476	1.25181	1.25360	208454	0	1
2024.02.06	1.25322	1.26030	1.25249	1.25959	139798	0	1
2024.02.07	1.25934	1.26418	1.25839	1.26247	104478	0	1
2024.02.08	1.26246	1.26385	1.25717	1.26170	106993	0	1
2024.02.09	1.26157	1.26428	1.25989	1.26270	90792	0	1
2024.02.12	1.26169	1.26547	1.26059	1.26287	83104	0	0
2024.02.13	1.26288	1.26881	1.25730	1.25916	108873	0	1
2024.02.14	1.25896	1.26111	1.25354	1.25620	106972	0	2
2024.02.15	1.25647	1.26010	1.25405	1.25994	95832	0	2
2024.02.16	1.25961	1.26245	1.25505	1.25996	100132	0	2
2024.02.19	1.25990	1.26298	1.25832	1.25936	67838	0	2
2024.02.20	1.25935	1.26686	1.25789	1.26215	105208	0	2
2024.02.21	1.26218	1.26419	1.26025	1.26361	100621	0	0
2024.02.22	1.26348	1.27096	1.26114	1.26602	106504	0	2
2024.02.23	1.26600	1.27014	1.26478	1.26705	92205	0	2
2024.02.26	1.26740	1.26996	1.26562	1.26828	82285	0	2
2024.02.27	1.26829	1.26969	1.26601	1.26810	111520	0	1
2024.02.28	1.26841	1.26867	1.26214	1.26582	97433	0	2
2024.02.29	1.26608	1.26819	1.26123	1.26207	114428	0	2
2024.03.01	1.26238	1.26639	1.25994	1.26509	111737	0	2
2024.03.04	1.26436	1.27066	1.26436	1.26889	83323	0	2
2024.03.05	1.26907	1.27348	1.26712	1.27043	86728	0	1
2024.03.06	1.27040	1.27615	1.26896	1.27294	105077	0	2
2024.03.07	1.27302	1.28109	1.27227	1.28069	97029	0	2
2024.03.08	1.28074	1.28939	1.27997	1.28562	103251	0	2
2024.03.11	1.28523	1.28620	1.27949	1.28123	94592	0	2
2024.03.12	1.28123	1.28235	1.27460	1.27888	65765	0	0
2024.03.13	1.27888	1.28111	1.27746	1.27955	38306	0	0
2024.03.14	1.27955	1.28228	1.27306	1.27523	43558	0	0
2024.03.15	1.27523	1.27585	1.27253	1.27318	35708	0	0
2024.03.18	1.27288	1.27467	1.27179	1.27244	31740	0	0
2024.03.19	1.27229	1.27328	1.26676	1.27185	42703	0	0
2024.03.20	1.27185	1.27866	1.26844	1.27834	43854	0	0
2024.03.21	1.27816	1.28033	1.26503	1.26547	48803	0	0
2024.03.22	1.26543	1.26748	1.25753	1.25986	38072	0	0
2024.03.25	1.25952	1.26521	1.25878	1.26356	30383	0	0
2024.03.26	1.26338	1.26679	1.26218	1.26282	31901	0	0
2024.03.27	1.26258	1.26408	1.26055	1.26338	33485	0	0
2024.03.28	1.26338	1.26544	1.25857	1.26191	36600	0	0
2024.03.29	1.26191	1.26446	1.26092	1.26167	7418	0	0
2024.04.01	1.25715	1.26419	1.25394	1.25506	29420	0	0
2024.04.02	1.25509	1.25782	1.25393	1.25768	35950	0	0
2024.04.03	1.25768	1.26555	1.25626	1.26519	38420	0	0
2024.04.04	1.26494	1.26835	1.26349	1.26415	34374	0	0
2024.04.05	1.26411	1.26481	1.25746	1.26370	43733	0	0
2024.04.08	1.26250	1.26637	1.26133	1.26542	40811	0	0
2024.04.09	1.26541	1.27093	1.26335	1.26771	37368	0	0
2024.04.10	1.26751	1.27079	1.25202	1.25394	51191	0	0
2024.04.11	1.25367	1.25784	1.25108	1.25499	52246	0	0
2024.04.12	1.25518	1.25584	1.24266	1.24481	52297	0	0
2024.04.15	1.24450	1.24985	1.24309	1.24452	59675	0	0
2024.04.16	1.24447	1.24718	1.24054	1.24260	60611	0	0
2024.04.17	1.24244	1.24819	1.24168	1.24534	55670	0	0
2024.04.18	1.24510	1.24843	1.24330	1.24360	55623	0	0
2024.04.19	1.24319	1.24680	1.23665	1.23684	78406	0	0
2024.04.22	1.23660	1.23919	1.22996	1.23493	34825	0	0
2024.04.23	1.23497	1.24584	1.23316	1.24480	37562	0	0
2024.04.24	1.24434	1.24698	1.24226	1.24627	29991	0	0
2024.04.25	1.24630	1.25275	1.24393	1.25126	38382	0	0
2024.04.26	1.25113	1.25409	1.24491	1.24927	38246	0	0
2024.04.29	1.24800	1.25694	1.24618	1.25622	40311	0	0
2024.04.30	1.25623	1.25637	1.24895	1.24911	37591	0	0
2024.05.01	1.24870	1.25498	1.24661	1.25252	37537	0	0
2024.05.02	1.25240	1.25443	1.24719	1.25334	45346	0	0
2024.05.03	1.25283	1.26338	1.25075	1.25452	43068	0	0
2024.05.06	1.25440	1.25943	1.25307	1.25613	27473	0	0
2024.05.07	1.25641	1.25702	1.25004	1.25079	33150	0	0
2024.05.08	1.25064	1.25104	1.24676	1.24973	30994	0	0
2024.05.09	1.24969	1.25265	1.24458	1.25231	33308	0	0
2024.05.10	1.25228	1.25410	1.25025	1.25234	33291	0	0
2024.05.13	1.25140	1.25687	1.25098	1.25587	29442	0	0
2024.05.14	1.25552	1.25928	1.25091	1.25909	33320	0	0
2024.05.15	1.25886	1.26861	1.25737	1.26848	34817	0	0
2024.05.16	1.26844	1.27004	1.26435	1.26686	33727	0	0
2024.05.17	1.26688	1.27115	1.26450	1.27001	28396	0	0
2024.05.20	1.26860	1.27251	1.26847	1.27055	29431	0	0
2024.05.21	1.27031	1.27268	1.26864	1.27082	30990	0	0
2024.05.22	1.27070	1.27613	1.27002	1.27160	37631	0	0
2024.05.23	1.27159	1.27466	1.26852	1.26973	42225	0	0
2024.05.24	1.26968	1.27508	1.26716	1.27364	35708	0	0
2024.05.27	1.27340	1.27776	1.27269	1.27679	18160	0	0
2024.05.28	1.27683	1.28006	1.27540	1.27607	33604	0	0
2024.05.29	1.27609	1.27715	1.26985	1.27003	38855	0	0
2024.05.30	1.26985	1.27471	1.26811	1.27316	37689	0	0
2024.05.31	1.27291	1.27660	1.27002	1.27407	42295	0	0
2024.06.03	1.27335	1.28080	1.26946	1.28070	40447	0	0
2024.06.04	1.28068	1.28172	1.27430	1.27699	42309	0	0
2024.06.05	1.27711	1.27949	1.27415	1.27857	36507	0	0
2024.06.06	1.27851	1.28089	1.27627	1.27894	34299	0	0
2024.06.07	1.27836	1.28115	1.27149	1.27149	40595	0	0
2024.06.10	1.27267	1.27369	1.26882	1.27301	34978	0	0
2024.06.11	1.27302	1.27511	1.27048	1.27397	36815	0	0
2024.06.12	1.27379	1.28605	1.27266	1.27976	43457	0	0
2024.06.13	1.27976	1.28076	1.27386	1.27617	40397	0	0
2024.06.14	1.27596	1.27632	1.26568	1.26852	44303	0	0
2024.06.17	1.26823	1.27093	1.26588	1.27043	36878	0	0
2024.06.18	1.27011	1.27210	1.26688	1.27082	38917	0	0
2024.06.19	1.27074	1.27399	1.26885	1.27166	25892	0	0
2024.06.20	1.27169	1.27225	1.26547	1.26565	35309	0	0
2024.06.21	1.26565	1.26731	1.26224	1.26405	35361	0	0
2024.06.24	1.26410	1.26978	1.26295	1.26828	33192	0	0
2024.06.25	1.26829	1.27025	1.26660	1.26844	31138	0	0
2024.06.26	1.26856	1.26937	1.26155	1.26214	36636	0	0
2024.06.27	1.26175	1.26704	1.26125	1.26388	36048	0	0
2024.06.28	1.26365	1.26626	1.26196	1.26442	41019	0	0
2024.07.01	1.26510	1.27092	1.26332	1.26495	38683	0	0
2024.07.02	1.26464	1.26526	1.26154	1.26324	11713	0	0
2024.07.03	1.26841	1.27770	1.26663	1.27410	29831	0	0
2024.07.04	1.27455	1.27674	1.27299	1.27575	21282	0	0
2024.07.05	1.27585	1.28170	1.27522	1.28135	34330	0	0
2024.07.08	1.27960	1.28455	1.27839	1.28059	30884	0	0
2024.07.09	1.28042	1.28253	1.27779	1.27854	30964	0	0
2024.07.10	1.27833	1.28488	1.27788	1.28477	28542	0	0
2024.07.11	1.28476	1.29487	1.28454	1.29137	37694	0	0
2024.07.12	1.29130	1.29905	1.29021	1.29875	38505	0	0
2024.07.15	1.29636	1.29946	1.29615	1.29666	36238	0	0
2024.07.16	1.29670	1.29798	1.29383	1.29724	34429	0	0
2024.07.17	1.29727	1.30440	1.29603	1.30085	40207	0	0
2024.07.18	1.30081	1.30126	1.29404	1.29429	41129	0	0
2024.07.19	1.29417	1.29510	1.29011	1.29110	42701	0	0
2024.07.22	1.29140	1.29423	1.29052	1.29323	63273	0	0
2024.07.23	1.29250	1.29348	1.28876	1.29070	59326	0	0
2024.07.24	1.28986	1.29374	1.28773	1.29062	66814	0	0
2024.07.25	1.28995	1.29133	1.28494	1.28504	83862	0	0
2024.07.26	1.28450	1.28778	1.28450	1.28666	61572	0	0
2024.07.29	1.28550	1.28880	1.28067	1.28616	65827	0	1
2024.07.30	1.28524	1.28660	1.28199	1.28352	61402	0	0
2024.07.31	1.28259	1.28642	1.28201	1.28551	89988	0	0
2024.08.01	1.28541	1.28627	1.27267	1.27371	86024	0	0
2024.08.02	1.27298	1.28403	1.27070	1.28049	95403	0	0
2024.08.05	1.27970	1.28170	1.27101	1.27733	145887	0	0
2024.08.06	1.27733	1.28030	1.26723	1.26914	117604	0	0
2024.08.07	1.26908	1.27359	1.26807	1.26908	95945	0	0
2024.08.08	1.26802	1.27522	1.26648	1.27478	91987	0	0
2024.08.09	1.27412	1.27738	1.27261	1.27580	73227	0	0
2024.08.12	1.27600	1.27938	1.27466	1.27590	65316	0	0
2024.08.13	1.27584	1.28728	1.27584	1.28594	73434	0	0
2024.08.14	1.28594	1.28684	1.28170	1.28257	70821	0	0
2024.08.15	1.28185	1.28715	1.27984	1.28492	64797	0	0
2024.08.16	1.28493	1.29459	1.28462	1.29443	51086	0	0
2024.08.19	1.29314	1.29969	1.29308	1.29869	63465	0	0
2024.08.20	1.29857	1.30520	1.29741	1.30328	68876	0	0
2024.08.21	1.30279	1.31192	1.30109	1.30822	74273	0	0
2024.08.22	1.30825	1.31290	1.30763	1.30865	64665	0	0
2024.08.23	1.30785	1.32302	1.30785	1.32176	69992	0	1
2024.08.26	1.31985	1.32222	1.31796	1.31854	57101	0	0
2024.08.27	1.31794	1.32659	1.31794	1.32593	62412	0	0
2024.08.28	1.32506	1.32621	1.31673	1.31903	66289	0	0
2024.08.29	1.31849	1.32268	1.31454	1.31659	74636	0	0
2024.08.30	1.31659	1.31998	1.31094	1.31293	71516	0	0
2024.09.02	1.31264	1.31548	1.31198	1.31410	38521	0	2
2024.09.03	1.31413	1.31494	1.30876	1.31128	71748	0	0
2024.09.04	1.31058	1.31753	1.31007	1.31448	66730	0	0
2024.09.05	1.31405	1.31853	1.31348	1.31776	68783	0	0
2024.09.06	1.31774	1.32384	1.31099	1.31300	81322	0	0
2024.09.09	1.31149	1.31431	1.30677	1.30736	62475	0	0
2024.09.10	1.30736	1.31075	1.30492	1.30798	63171	0	0
2024.09.11	1.30655	1.31111	1.30019	1.30426	74849	0	0
2024.09.12	1.30372	1.31269	1.30321	1.31237	67733	0	0
2024.09.13	1.31193	1.31575	1.31145	1.31235	64315	0	0
2024.09.16	1.31210	1.32181	1.31182	1.32158	60833	0	0
2024.09.17	1.32068	1.32296	1.31457	1.31606	67902	0	0
2024.09.18	1.31521	1.32975	1.31512	1.32134	81742	0	0
2024.09.19	1.31998	1.33140	1.31533	1.32828	97711	0	0
2024.09.20	1.32746	1.33403	1.32678	1.33214	81750	0	0
2024.09.23	1.33114	1.33592	1.32482	1.33464	75433	0	0
2024.09.24	1.33345	1.34155	1.33316	1.34124	76605	0	0
2024.09.25	1.34124	1.34297	1.33124	1.33217	84297	0	0
2024.09.26	1.33177	1.34341	1.33110	1.34149	89221	0	0
2024.09.27	1.34104	1.34274	1.33598	1.33718	89849	0	0
2024.09.30	1.33670	1.34228	1.33497	1.33742	80966	0	0
2024.10.01	1.33742	1.33895	1.32372	1.32855	97716	0	0
2024.10.02	1.32760	1.33054	1.32457	1.32666	81495	0	0
2024.10.03	1.32555	1.32704	1.30920	1.31237	99292	0	0
2024.10.04	1.31142	1.31747	1.30696	1.31209	87249	0	0
2024.10.07	1.31134	1.31343	1.30592	1.30826	86860	0	0
2024.10.08	1.30726	1.31133	1.30642	1.31034	83040	0	0
2024.10.09	1.31022	1.31046	1.30555	1.30695	73843	0	0
2024.10.10	1.30684	1.30935	1.30213	1.30576	80862	0	0
2024.10.11	1.30577	1.30831	1.30416	1.30657	56866	0	0
2024.10.14	1.30515	1.30718	1.30299	1.30587	60094	0	2
2024.10.15	1.30587	1.31028	1.30352	1.30731	67333	0	0
2024.10.16	1.30650	1.30771	1.29766	1.29892	68338	0	1
2024.10.17	1.29806	1.30104	1.29736	1.30098	34456	0	2
2024.10.18	1.29945	1.30709	1.29945	1.30485	66067	0	0
2024.10.21	1.30414	1.30581	1.29767	1.29846	62116	0	0
2024.10.22	1.29845	1.30150	1.29445	1.29833	64787	0	0
2024.10.23	1.29720	1.29948	1.29072	1.29213	64059	0	0
2024.10.24	1.29140	1.29879	1.29082	1.29751	66940	0	0
2024.10.25	1.29731	1.29984	1.29544	1.29599	60204	0	0
2024.10.28	1.29705	1.30013	1.29396	1.29715	62376	0	0
2024.10.29	1.29721	1.30167	1.29578	1.30145	69561	0	0
2024.10.30	1.30123	1.30430	1.29366	1.29614	81603	0	0
2024.10.31	1.29613	1.29994	1.28435	1.28985	87447	0	0
2024.11.01	1.28938	1.29803	1.28843	1.29193	75036	0	0
2024.11.04	1.29660	1.29989	1.29340	1.29566	76305	0	0
