<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	1.27210	1.27351	1.27167	1.27206	12871	0	1
2024.01.02	04:00:00	1.27206	1.27411	1.27097	1.27369	13901	0	5
2024.01.02	08:00:00	1.27369	1.27601	1.27170	1.27175	41003	0	1
2024.01.02	12:00:00	1.27173	1.27188	1.26212	1.26295	56849	0	1
2024.01.02	16:00:00	1.26296	1.26448	1.26107	1.26330	72034	0	1
2024.01.02	20:00:00	1.26329	1.26350	1.26149	1.26160	22851	0	2
2024.01.03	00:00:00	1.26149	1.26335	1.26096	1.26288	12806	0	5
2024.01.03	04:00:00	1.26288	1.26416	1.26262	1.26304	13582	0	5
2024.01.03	08:00:00	1.26304	1.26527	1.26242	1.26278	36274	0	1
2024.01.03	12:00:00	1.26278	1.26432	1.26183	1.26298	42441	0	1
2024.01.03	16:00:00	1.26298	1.26567	1.26154	1.26447	78919	0	1
2024.01.03	20:00:00	1.26447	1.26767	1.26305	1.26642	53680	0	0
2024.01.04	00:00:00	1.26639	1.26736	1.26517	1.26621	13441	0	5
2024.01.04	04:00:00	1.26621	1.26762	1.26567	1.26653	17250	0	5
2024.01.04	08:00:00	1.26653	1.27248	1.26648	1.27204	47088	0	1
2024.01.04	12:00:00	1.27203	1.27300	1.26704	1.26736	48389	0	1
2024.01.04	16:00:00	1.26734	1.27107	1.26646	1.26833	59351	0	1
2024.01.04	20:00:00	1.26832	1.26866	1.26739	1.26814	20357	0	0
2024.01.05	00:00:00	1.26758	1.26953	1.26722	1.26933	12644	0	5
2024.01.05	04:00:00	1.26933	1.26963	1.26735	1.26740	13637	0	5
2024.01.05	08:00:00	1.26740	1.26893	1.26570	1.26600	35324	0	1
2024.01.05	12:00:00	1.26600	1.26713	1.26112	1.26579	55819	0	1
2024.01.05	16:00:00	1.26580	1.27711	1.26550	1.27233	109818	0	1
2024.01.05	20:00:00	1.27232	1.27395	1.27102	1.27176	29732	0	0
2024.01.08	00:00:00	1.27101	1.27299	1.27052	1.27208	11142	0	5
2024.01.08	04:00:00	1.27208	1.27208	1.26977	1.27035	12803	0	5
2024.01.08	08:00:00	1.27036	1.27201	1.26734	1.26946	33587	0	1
2024.01.08	12:00:00	1.26947	1.27211	1.26931	1.27119	36699	0	1
2024.01.08	16:00:00	1.27119	1.27670	1.27090	1.27547	50037	0	1
2024.01.08	20:00:00	1.27547	1.27606	1.27399	1.27474	20196	0	0
2024.01.09	00:00:00	1.27467	1.27607	1.27386	1.27601	16488	0	5
2024.01.09	04:00:00	1.27601	1.27649	1.27373	1.27434	15245	0	5
2024.01.09	08:00:00	1.27434	1.27510	1.27241	1.27344	30111	0	1
2024.01.09	12:00:00	1.27345	1.27383	1.27071	1.27254	38730	0	1
2024.01.09	16:00:00	1.27255	1.27318	1.26892	1.27105	50336	0	1
2024.01.09	20:00:00	1.27105	1.27177	1.26918	1.27065	24020	0	2
2024.01.10	00:00:00	1.27059	1.27181	1.26956	1.27106	14020	0	5
2024.01.10	04:00:00	1.27106	1.27127	1.26970	1.27014	13270	0	5
2024.01.10	08:00:00	1.27014	1.27289	1.26860	1.27255	33173	0	1
2024.01.10	12:00:00	1.27255	1.27366	1.27178	1.27241	33564	0	1
2024.01.10	16:00:00	1.27242	1.27412	1.27132	1.27336	43732	0	1
2024.01.10	20:00:00	1.27335	1.27441	1.27273	1.27413	23043	0	3
2024.01.11	00:00:00	1.27415	1.27614	1.27178	1.27601	12308	0	5
2024.01.11	04:00:00	1.27602	1.27710	1.27576	1.27633	15266	0	5
2024.01.11	08:00:00	1.27633	1.27744	1.27383	1.27396	29256	0	1
2024.01.11	12:00:00	1.27396	1.27830	1.27026	1.27113	61131	0	1
2024.01.11	16:00:00	1.27114	1.27538	1.26900	1.27203	119578	0	1
2024.01.11	20:00:00	1.27203	1.27659	1.27190	1.27530	47457	0	3
2024.01.12	00:00:00	1.27430	1.27814	1.27334	1.27803	21529	0	5
2024.01.12	04:00:00	1.27803	1.27850	1.27680	1.27725	20194	0	5
2024.01.12	08:00:00	1.27725	1.27795	1.27495	1.27523	36439	0	1
2024.01.12	12:00:00	1.27522	1.27687	1.27193	1.27551	53672	0	1
2024.01.12	16:00:00	1.27551	1.27858	1.27322	1.27393	70818	0	1
2024.01.12	20:00:00	1.27394	1.27564	1.27351	1.27516	24279	0	3
2024.01.15	00:00:00	1.27327	1.27503	1.27261	1.27418	17741	0	5
2024.01.15	04:00:00	1.27417	1.27653	1.27417	1.27525	15821	0	5
2024.01.15	08:00:00	1.27525	1.27602	1.27185	1.27261	30389	0	1
2024.01.15	12:00:00	1.27261	1.27395	1.27128	1.27276	36504	0	1
2024.01.15	16:00:00	1.27276	1.27385	1.27129	1.27292	29699	0	1
2024.01.15	20:00:00	1.27291	1.27318	1.27253	1.27268	3817	0	0
2024.01.16	00:00:00	1.27264	1.27286	1.26788	1.26947	21042	0	5
2024.01.16	04:00:00	1.26947	1.26949	1.26762	1.26804	18528	0	5
2024.01.16	08:00:00	1.26804	1.26867	1.26350	1.26408	50041	0	1
2024.01.16	12:00:00	1.26410	1.26724	1.26201	1.26424	57107	0	1
2024.01.16	16:00:00	1.26423	1.26790	1.26244	1.26248	95527	0	0
2024.01.16	20:00:00	1.26248	1.26403	1.26192	1.26358	24001	0	3
2024.01.17	00:00:00	1.26350	1.26431	1.26214	1.26355	15703	0	5
2024.01.17	04:00:00	1.26355	1.26438	1.26057	1.26098	20790	0	5
2024.01.17	08:00:00	1.26098	1.26835	1.25964	1.26803	62788	0	1
2024.01.17	12:00:00	1.26803	1.26965	1.26414	1.26507	52282	0	1
2024.01.17	16:00:00	1.26507	1.26824	1.26382	1.26783	67547	0	1
2024.01.17	20:00:00	1.26784	1.26867	1.26623	1.26759	27298	0	0
2024.01.18	00:00:00	1.26755	1.26916	1.26602	1.26890	22371	0	5
2024.01.18	04:00:00	1.26889	1.26956	1.26774	1.26869	20538	0	5
2024.01.18	08:00:00	1.26869	1.27041	1.26735	1.26742	44649	0	1
2024.01.18	12:00:00	1.26742	1.26959	1.26503	1.26525	54849	0	1
2024.01.18	16:00:00	1.26525	1.26921	1.26480	1.26810	77384	0	1
2024.01.18	20:00:00	1.26810	1.27077	1.26768	1.27051	28559	0	3
2024.01.19	00:00:00	1.27056	1.27121	1.26959	1.27071	15218	0	0
2024.01.19	04:00:00	1.27070	1.27147	1.26959	1.26988	18117	0	5
2024.01.19	08:00:00	1.26988	1.27010	1.26655	1.26838	50108	0	1
2024.01.19	12:00:00	1.26838	1.26911	1.26699	1.26745	43341	0	1
2024.01.19	16:00:00	1.26745	1.26884	1.26611	1.26879	63714	0	1
2024.01.19	20:00:00	1.26878	1.27046	1.26820	1.27032	22465	0	3
2024.01.22	00:00:00	1.26807	1.27130	1.26776	1.27087	22479	0	5
2024.01.22	04:00:00	1.27087	1.27191	1.27068	1.27188	18793	0	5
2024.01.22	08:00:00	1.27187	1.27245	1.26867	1.27047	38385	0	1
2024.01.22	12:00:00	1.27047	1.27319	1.26981	1.27267	40068	0	1
2024.01.22	16:00:00	1.27268	1.27330	1.27087	1.27213	48625	0	1
2024.01.22	20:00:00	1.27213	1.27218	1.26978	1.27082	23347	0	3
2024.01.23	00:00:00	1.27030	1.27213	1.26949	1.27204	13507	0	5
2024.01.23	04:00:00	1.27204	1.27386	1.27151	1.27370	27630	0	5
2024.01.23	08:00:00	1.27371	1.27475	1.27203	1.27285	45044	0	1
2024.01.23	12:00:00	1.27285	1.27286	1.26997	1.27082	46820	0	1
2024.01.23	16:00:00	1.27082	1.27083	1.26488	1.26577	54606	0	1
2024.01.23	20:00:00	1.26577	1.26912	1.26566	1.26858	20839	0	3
2024.01.24	00:00:00	1.26862	1.26984	1.26630	1.26923	32412	0	5
2024.01.24	04:00:00	1.26923	1.27044	1.26854	1.27021	15406	0	5
2024.01.24	08:00:00	1.27021	1.27736	1.26996	1.27648	49769	0	1
2024.01.24	12:00:00	1.27649	1.27712	1.27280	1.27665	47944	0	1
2024.01.24	16:00:00	1.27665	1.27750	1.27337	1.27479	70604	0	1
2024.01.24	20:00:00	1.27479	1.27504	1.27135	1.27246	33536	0	3
2024.01.25	00:00:00	1.27233	1.27265	1.27033	1.27116	20543	0	5
2024.01.25	04:00:00	1.27113	1.27170	1.27070	1.27102	18035	0	5
2024.01.25	08:00:00	1.27102	1.27371	1.27084	1.27263	34182	0	1
2024.01.25	12:00:00	1.27263	1.27428	1.26979	1.27363	57666	0	1
2024.01.25	16:00:00	1.27363	1.27363	1.26815	1.26903	79901	0	1
2024.01.25	20:00:00	1.26904	1.27109	1.26862	1.27073	29613	0	3
2024.01.26	00:00:00	1.27070	1.27119	1.26938	1.27084	11548	0	5
2024.01.26	04:00:00	1.27083	1.27159	1.27018	1.27057	11932	0	5
2024.01.26	08:00:00	1.27057	1.27220	1.26754	1.27142	36661	0	1
2024.01.26	12:00:00	1.27142	1.27585	1.27142	1.27487	49791	0	1
2024.01.26	16:00:00	1.27487	1.27548	1.27062	1.27132	56061	0	1
2024.01.26	20:00:00	1.27131	1.27151	1.26986	1.26990	19047	0	3
2024.01.29	00:00:00	1.26851	1.27059	1.26851	1.27004	17328	0	5
2024.01.29	04:00:00	1.27000	1.27080	1.26948	1.27019	14724	0	5
2024.01.29	08:00:00	1.27018	1.27190	1.26983	1.27034	33931	0	1
2024.01.29	12:00:00	1.27034	1.27130	1.26829	1.26937	35706	0	1
2024.01.29	16:00:00	1.26937	1.26962	1.26619	1.26834	42695	0	1
2024.01.29	20:00:00	1.26833	1.27177	1.26768	1.27074	23557	0	3
2024.01.30	00:00:00	1.27065	1.27211	1.26995	1.27104	18113	0	5
2024.01.30	04:00:00	1.27104	1.27134	1.27035	1.27056	13594	0	5
2024.01.30	08:00:00	1.27056	1.27087	1.26713	1.26811	36723	0	1
2024.01.30	12:00:00	1.26810	1.26839	1.26624	1.26752	33858	0	1
2024.01.30	16:00:00	1.26752	1.26891	1.26400	1.26807	62547	0	1
2024.01.30	20:00:00	1.26807	1.27001	1.26734	1.26982	18844	0	3
2024.01.31	00:00:00	1.26981	1.27009	1.26741	1.26849	15658	0	5
2024.01.31	04:00:00	1.26849	1.26849	1.26723	1.26774	16409	0	5
2024.01.31	08:00:00	1.26774	1.26975	1.26667	1.26699	37245	0	1
2024.01.31	12:00:00	1.26700	1.27127	1.26669	1.27054	49054	0	1
2024.01.31	16:00:00	1.27054	1.27509	1.27003	1.27183	82281	0	1
2024.01.31	20:00:00	1.27180	1.27392	1.26579	1.26869	103277	0	0
2024.02.01	00:00:00	1.26789	1.26896	1.26559	1.26792	17820	0	5
2024.02.01	04:00:00	1.26792	1.26980	1.26673	1.26673	16188	0	5
2024.02.01	08:00:00	1.26674	1.26742	1.26418	1.26554	40021	0	1
2024.02.01	12:00:00	1.26554	1.26858	1.26250	1.26587	62322	0	0
2024.02.01	16:00:00	1.26589	1.27399	1.26408	1.27363	82371	0	1
2024.02.01	20:00:00	1.27363	1.27556	1.27279	1.27429	30147	0	3
2024.02.02	00:00:00	1.27408	1.27547	1.27331	1.27455	12293	0	5
2024.02.02	04:00:00	1.27455	1.27544	1.27429	1.27491	12582	0	3
