<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	0.83888	0.85069	0.83820	0.85011	72082	0	0
2024.01.03	0.84885	0.85544	0.84740	0.84899	84232	0	0
2024.01.04	0.84810	0.85286	0.84773	0.85012	72712	0	0
2024.01.05	0.84959	0.85767	0.84552	0.85010	80613	0	0
2024.01.08	0.84725	0.85209	0.84602	0.84787	61190	0	0
2024.01.09	0.84617	0.85319	0.84617	0.85210	61436	0	0
2024.01.10	0.85196	0.85353	0.85063	0.85067	56515	0	0
2024.01.11	0.85074	0.85664	0.84830	0.85178	82024	0	0
2024.01.12	0.85155	0.85507	0.84883	0.85240	82739	0	0
2024.01.15	0.85108	0.85619	0.85059	0.85541	36080	0	0
2024.01.16	0.85541	0.86194	0.85519	0.86143	90734	0	0
2024.01.17	0.86141	0.86850	0.85887	0.86437	88286	0	0
2024.01.18	0.86412	0.86939	0.86327	0.86790	65621	0	0
2024.01.19	0.86805	0.87044	0.86708	0.86794	63103	0	0
2024.01.22	0.86635	0.87005	0.86635	0.86898	64712	0	0
2024.01.23	0.86898	0.87282	0.86496	0.87021	57935	0	1
2024.01.24	0.87024	0.87040	0.86066	0.86280	69144	0	0
2024.01.25	0.86280	0.86848	0.86194	0.86701	71235	0	0
2024.01.26	0.86679	0.86848	0.86161	0.86379	67199	0	2
2024.01.29	0.86535	0.86535	0.86069	0.86122	56978	0	1
2024.01.30	0.86120	0.86430	0.86012	0.86168	70313	0	0
2024.01.31	0.86167	0.86440	0.85509	0.86123	96682	0	0
2024.02.01	0.86129	0.86494	0.85709	0.85767	74096	0	1
2024.02.02	0.85768	0.86806	0.85513	0.86683	73914	0	0
2024.02.05	0.86527	0.87184	0.86464	0.87051	64001	0	0
2024.02.06	0.87020	0.87410	0.86899	0.86958	62482	0	2
2024.02.07	0.87030	0.87532	0.86881	0.87390	63015	0	2
2024.02.08	0.87360	0.87608	0.87242	0.87330	60552	0	2
2024.02.09	0.87310	0.87620	0.87255	0.87471	54804	0	0
2024.02.12	0.87442	0.87725	0.87264	0.87556	43324	0	0
2024.02.13	0.87558	0.88806	0.87432	0.88700	68119	0	0
2024.02.14	0.88699	0.88855	0.88472	0.88582	55574	0	1
2024.02.15	0.88596	0.88604	0.87826	0.87982	59105	0	0
2024.02.16	0.87983	0.88388	0.87853	0.88070	52469	0	2
2024.02.19	0.88120	0.88278	0.87831	0.88201	38901	0	0
2024.02.20	0.88190	0.88375	0.87854	0.88181	53018	0	1
