<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	0.83888	0.84261	0.83820	0.84258	5862	0	0
2024.01.02	04:00:00	0.84257	0.84554	0.84250	0.84390	5939	0	1
2024.01.02	08:00:00	0.84389	0.84714	0.84328	0.84623	14391	0	2
2024.01.02	12:00:00	0.84624	0.85034	0.84610	0.84942	17946	0	1
2024.01.02	16:00:00	0.84943	0.85034	0.84639	0.85015	19236	0	0
2024.01.02	20:00:00	0.85016	0.85069	0.84897	0.85011	8708	0	0
2024.01.03	00:00:00	0.84885	0.85046	0.84740	0.84950	5960	0	3
2024.01.03	04:00:00	0.84952	0.85023	0.84889	0.84991	4775	0	0
2024.01.03	08:00:00	0.84992	0.85220	0.84919	0.85142	14336	0	0
2024.01.03	12:00:00	0.85141	0.85544	0.85129	0.85280	17471	0	2
2024.01.03	16:00:00	0.85279	0.85472	0.85066	0.85169	26445	0	4
2024.01.03	20:00:00	0.85167	0.85312	0.84895	0.84899	15245	0	0
2024.01.04	00:00:00	0.84810	0.85057	0.84810	0.85038	6661	0	6
2024.01.04	04:00:00	0.85039	0.85041	0.84822	0.84977	6953	0	0
2024.01.04	08:00:00	0.84976	0.85121	0.84773	0.84946	18059	0	3
2024.01.04	12:00:00	0.84945	0.85286	0.84871	0.85135	15626	0	0
2024.01.04	16:00:00	0.85134	0.85237	0.84862	0.85142	17304	0	4
2024.01.04	20:00:00	0.85142	0.85204	0.84965	0.85012	8109	0	0
2024.01.05	00:00:00	0.84959	0.85047	0.84836	0.84920	8670	0	0
2024.01.05	04:00:00	0.84920	0.85083	0.84899	0.85046	4386	0	0
2024.01.05	08:00:00	0.85047	0.85342	0.85037	0.85296	11877	0	4
2024.01.05	12:00:00	0.85297	0.85767	0.85216	0.85279	17375	0	3
2024.01.05	16:00:00	0.85276	0.85281	0.84552	0.84992	28964	0	4
2024.01.05	20:00:00	0.84994	0.85062	0.84850	0.85010	9341	0	3
2024.01.08	00:00:00	0.84725	0.85133	0.84725	0.85023	8580	0	3
2024.01.08	04:00:00	0.85024	0.85209	0.85024	0.85164	4521	0	0
2024.01.08	08:00:00	0.85165	0.85207	0.84871	0.85080	14082	0	3
2024.01.08	12:00:00	0.85079	0.85174	0.84914	0.84984	12429	0	4
2024.01.08	16:00:00	0.84984	0.85001	0.84602	0.84705	15045	0	4
2024.01.08	20:00:00	0.84706	0.84831	0.84684	0.84787	6533	0	2
2024.01.09	00:00:00	0.84617	0.84827	0.84617	0.84654	6917	0	3
2024.01.09	04:00:00	0.84653	0.84787	0.84639	0.84772	5278	0	1
2024.01.09	08:00:00	0.84772	0.85032	0.84720	0.84968	12482	0	2
2024.01.09	12:00:00	0.84967	0.85204	0.84920	0.84993	13103	0	1
2024.01.09	16:00:00	0.84992	0.85319	0.84960	0.85159	16492	0	0
