<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	0.83888	0.83959	0.83857	0.83857	31	0	163
2024.01.02	00:15:00	0.83880	0.83943	0.83820	0.83928	48	0	173
2024.01.02	00:30:00	0.83940	0.83956	0.83918	0.83956	72	0	121
2024.01.02	00:45:00	0.83947	0.83960	0.83925	0.83955	65	0	113
2024.01.02	01:00:00	0.84022	0.84133	0.84019	0.84127	432	0	9
2024.01.02	01:15:00	0.84129	0.84190	0.84129	0.84186	437	0	9
2024.01.02	01:30:00	0.84185	0.84208	0.84161	0.84203	427	0	9
2024.01.02	01:45:00	0.84204	0.84234	0.84174	0.84195	597	0	9
2024.01.02	02:00:00	0.84194	0.84207	0.84171	0.84206	617	0	9
2024.01.02	02:15:00	0.84205	0.84246	0.84198	0.84240	616	0	9
2024.01.02	02:30:00	0.84241	0.84254	0.84233	0.84253	654	0	9
2024.01.02	02:45:00	0.84253	0.84260	0.84246	0.84251	285	0	7
2024.01.02	03:00:00	0.84252	0.84254	0.84189	0.84219	504	0	9
2024.01.02	03:15:00	0.84220	0.84241	0.84208	0.84235	361	0	7
2024.01.02	03:30:00	0.84236	0.84256	0.84231	0.84240	389	0	9
2024.01.02	03:45:00	0.84241	0.84261	0.84227	0.84258	327	0	0
2024.01.02	04:00:00	0.84257	0.84291	0.84250	0.84290	420	0	9
2024.01.02	04:15:00	0.84290	0.84315	0.84290	0.84315	382	0	7
2024.01.02	04:30:00	0.84316	0.84394	0.84314	0.84383	389	0	9
2024.01.02	04:45:00	0.84384	0.84474	0.84383	0.84470	602	0	9
2024.01.02	05:00:00	0.84468	0.84474	0.84423	0.84430	427	0	9
2024.01.02	05:15:00	0.84430	0.84440	0.84424	0.84431	289	0	9
2024.01.02	05:30:00	0.84430	0.84445	0.84426	0.84431	276	0	1
2024.01.02	05:45:00	0.84430	0.84433	0.84422	0.84427	293	0	9
2024.01.02	06:00:00	0.84428	0.84462	0.84425	0.84459	262	0	4
2024.01.02	06:15:00	0.84455	0.84494	0.84452	0.84490	265	0	4
2024.01.02	06:30:00	0.84490	0.84493	0.84471	0.84493	246	0	3
2024.01.02	06:45:00	0.84492	0.84554	0.84491	0.84525	442	0	5
2024.01.02	07:00:00	0.84525	0.84527	0.84491	0.84492	343	0	3
2024.01.02	07:15:00	0.84493	0.84493	0.84460	0.84469	421	0	2
2024.01.02	07:30:00	0.84468	0.84471	0.84425	0.84430	422	0	1
2024.01.02	07:45:00	0.84429	0.84433	0.84385	0.84390	460	0	9
2024.01.02	08:00:00	0.84389	0.84417	0.84388	0.84397	335	0	2
2024.01.02	08:15:00	0.84396	0.84409	0.84375	0.84390	371	0	2
2024.01.02	08:30:00	0.84390	0.84392	0.84328	0.84339	374	0	6
