<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	140.830	142.216	140.807	141.970	237476	0	0
2024.01.03	141.829	143.731	141.771	143.288	275087	0	3
2024.01.04	143.289	144.852	142.850	144.622	267701	0	3
2024.01.05	144.518	145.979	143.806	144.558	354170	0	2
2024.01.08	144.441	144.918	143.662	144.220	229689	0	1
2024.01.09	144.195	144.620	143.417	144.464	252199	0	0
2024.01.10	144.440	145.830	144.316	145.749	210003	0	1
2024.01.11	145.736	146.417	144.953	145.274	344680	0	3
2024.01.12	145.256	145.568	144.349	144.906	303780	0	1
2024.01.15	144.849	145.942	144.749	145.708	163386	0	0
2024.01.16	145.709	147.311	145.582	147.182	313385	0	1
2024.01.17	147.182	148.528	147.042	148.154	301866	0	0
2024.01.18	148.141	148.302	147.654	148.154	272255	0	1
2024.01.19	148.154	148.804	147.835	148.112	266831	0	3
2024.01.22	148.212	148.304	147.616	148.092	230170	0	3
2024.01.23	148.093	148.693	146.977	148.321	334622	0	3
2024.01.24	148.319	148.396	146.646	147.497	305222	0	2
2024.01.25	147.489	147.949	147.083	147.652	288074	0	3
2024.01.26	147.634	148.204	147.422	148.150	248643	0	3
2024.01.29	148.063	148.332	147.246	147.487	190842	0	3
2024.01.30	147.496	147.928	147.086	147.594	222968	0	2
2024.01.31	147.592	147.901	146.005	146.894	440600	0	0
2024.02.01	146.890	147.114	145.895	146.412	355362	0	0
2024.02.02	146.421	148.586	146.198	148.341	284890	0	0
2024.02.05	148.408	148.895	148.264	148.669	232604	0	3
2024.02.06	148.669	148.788	147.815	147.933	150961	0	3
2024.02.07	147.935	148.258	147.617	148.177	112156	0	3
2024.02.08	148.173	149.479	147.928	149.308	119391	0	3
2024.02.09	149.309	149.576	149.008	149.251	103861	0	3
2024.02.12	149.210	149.478	148.926	149.332	92689	0	4
2024.02.13	149.334	150.881	149.193	150.818	111920	0	3
2024.02.14	150.798	150.806	150.340	150.547	106893	0	4
2024.02.15	150.544	150.573	149.531	149.899	116060	0	1
2024.02.16	149.894	150.646	149.823	150.176	105254	0	4
2024.02.19	150.080	150.190	149.871	150.109	62836	0	2
2024.02.20	150.108	150.436	149.681	149.996	104393	0	4
2024.02.21	149.994	150.390	149.849	150.289	96719	0	4
2024.02.22	150.302	150.686	150.015	150.520	113102	0	4
2024.02.23	150.524	150.768	150.292	150.504	89984	0	1
2024.02.26	150.493	150.835	150.239	150.676	96939	0	4
2024.02.27	150.683	150.704	150.074	150.486	89318	0	4
2024.02.28	150.502	150.843	150.369	150.679	91892	0	4
2024.02.29	150.684	150.692	149.205	149.955	128047	0	4
2024.03.01	149.968	150.721	149.903	150.062	112792	0	4
2024.03.04	149.985	150.568	149.836	150.502	94471	0	4
2024.03.05	150.523	150.541	149.702	150.049	105221	0	3
2024.03.06	150.046	150.081	149.090	149.366	114071	0	1
2024.03.07	149.367	149.387	147.578	148.022	144723	0	4
