<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	140.830	140.961	140.816	140.881	352	0	5
2024.01.02	01:00:00	140.914	141.127	140.807	141.111	7483	0	10
2024.01.02	02:00:00	141.111	141.379	141.095	141.141	7453	0	10
2024.01.02	03:00:00	141.142	141.457	141.140	141.435	7726	0	8
2024.01.02	04:00:00	141.435	141.668	141.361	141.559	7359	0	7
2024.01.02	05:00:00	141.558	141.667	141.489	141.498	5986	0	10
2024.01.02	06:00:00	141.498	141.583	141.459	141.535	3760	0	3
2024.01.02	07:00:00	141.535	141.535	141.345	141.346	4206	0	10
2024.01.02	08:00:00	141.346	141.551	141.332	141.522	5629	0	6
2024.01.02	09:00:00	141.522	141.605	141.389	141.546	12652	0	3
2024.01.02	10:00:00	141.546	141.593	141.293	141.555	15395	0	3
2024.01.02	11:00:00	141.554	141.672	141.378	141.552	12351	0	3
2024.01.02	12:00:00	141.553	141.772	141.509	141.651	11521	0	3
2024.01.02	13:00:00	141.651	141.888	141.592	141.827	11817	0	3
2024.01.02	14:00:00	141.826	142.216	141.790	142.116	17212	0	3
2024.01.02	15:00:00	142.117	142.159	141.886	142.148	17575	0	3
2024.01.02	16:00:00	142.148	142.174	141.511	141.551	24320	0	3
2024.01.02	17:00:00	141.551	142.016	141.500	141.928	22958	0	3
2024.01.02	18:00:00	141.926	141.999	141.715	141.889	16004	0	3
2024.01.02	19:00:00	141.890	141.995	141.876	141.968	8598	0	10
2024.01.02	20:00:00	141.968	141.999	141.844	141.947	5363	0	0
2024.01.02	21:00:00	141.948	141.997	141.898	141.944	4231	0	10
2024.01.02	22:00:00	141.944	141.971	141.800	141.956	6421	0	6
2024.01.02	23:00:00	141.954	142.012	141.935	141.970	1104	0	0
2024.01.03	00:00:00	141.829	142.063	141.771	142.042	678	0	25
2024.01.03	01:00:00	142.045	142.180	142.027	142.171	3844	0	10
2024.01.03	02:00:00	142.171	142.171	141.856	141.952	7498	0	10
2024.01.03	03:00:00	141.952	142.134	141.905	142.012	6114	0	10
2024.01.03	04:00:00	142.012	142.063	141.984	142.033	4153	0	8
2024.01.03	05:00:00	142.034	142.040	141.876	141.887	4460	0	6
2024.01.03	06:00:00	141.887	141.940	141.855	141.900	3098	0	6
2024.01.03	07:00:00	141.900	142.131	141.899	142.122	3871	0	5
2024.01.03	08:00:00	142.122	142.130	142.010	142.086	5135	0	6
2024.01.03	09:00:00	142.084	142.470	142.034	142.419	15373	0	3
2024.01.03	10:00:00	142.420	142.647	142.398	142.574	14839	0	3
2024.01.03	11:00:00	142.574	142.713	142.500	142.638	10378	0	3
2024.01.03	12:00:00	142.638	142.796	142.600	142.649	9306	0	3
2024.01.03	13:00:00	142.649	142.981	142.589	142.934	10500	0	3
2024.01.03	14:00:00	142.933	142.990	142.789	142.935	12399	0	3
2024.01.03	15:00:00	142.935	143.086	142.817	143.019	18671	0	3
2024.01.03	16:00:00	143.018	143.413	142.961	143.230	23310	0	3
2024.01.03	17:00:00	143.241	143.729	142.813	143.598	40315	0	3
2024.01.03	18:00:00	143.598	143.599	143.339	143.553	17552	0	3
2024.01.03	19:00:00	143.552	143.726	143.492	143.602	11793	0	10
2024.01.03	20:00:00	143.604	143.670	143.461	143.567	11660	0	8
2024.01.03	21:00:00	143.568	143.731	143.131	143.235	27046	0	10
2024.01.03	22:00:00	143.236	143.275	143.114	143.228	11879	0	10
2024.01.03	23:00:00	143.228	143.308	143.219	143.288	1215	0	3
2024.01.04	00:00:00	143.289	143.289	143.099	143.128	632	0	13
2024.01.04	01:00:00	143.139	143.142	142.946	142.995	5982	0	10
2024.01.04	02:00:00	142.995	143.318	142.850	143.265	14824	0	10
2024.01.04	03:00:00	143.265	143.446	143.115	143.426	11760	0	10
2024.01.04	04:00:00	143.426	143.484	143.344	143.469	7166	0	6
